speed_ego,speed_other,distance,relative_speed,lane_difference,weather,brake_event,collision_risk
57.45,69.97,64.54,12.51,0,1,0,0.288
115.07,94.67,47.01,20.4,1,1,1,0.447
93.2,76.27,96.52,16.93,1,0,0,0.078
79.87,28.33,23.46,51.54,1,0,1,0.472
35.6,38.56,59.61,2.96,0,0,1,0.365
35.6,41.93,70.62,6.33,0,1,0,0.264
25.81,45.79,82.91,19.98,0,0,0,0.192
106.62,76.54,41.88,30.08,1,0,0,0.157
80.11,70.4,69.32,9.71,0,0,1,0.374
90.81,40.32,31.71,50.49,0,1,0,0.49
22.06,26.76,44.68,4.7,1,1,0,0.215
116.99,37.14,89.77,79.85,1,0,0,0.238
103.24,118.44,95.09,15.19,1,0,0,0.074
41.23,66.85,72.44,25.62,0,0,0,0.212
38.18,106.73,38.69,68.55,0,0,0,0.36
38.34,104.88,82.37,66.53,0,0,0,0.308
50.42,71.15,4.53,20.73,0,1,0,1.0
72.48,90.67,12.07,18.19,0,0,1,0.613
63.19,39.28,66.81,23.92,0,0,0,0.211
49.12,88.84,30.54,39.72,1,0,1,0.41
81.19,47.24,95.24,33.95,1,0,0,0.121
33.95,103.21,44.73,69.26,0,0,0,0.35
49.21,28.37,44.08,20.84,0,0,0,0.23
56.64,97.31,68.45,40.68,0,0,1,0.452
65.61,29.99,77.22,35.61,0,0,0,0.234
98.52,108.12,48.6,9.6,1,2,1,0.536
39.97,50.42,22.97,10.45,0,1,0,0.468
71.42,85.44,77.78,14.02,0,0,1,0.379
79.24,68.75,33.39,10.49,0,0,0,0.228
24.65,56.63,19.16,31.99,1,0,1,0.454
80.75,84.54,63.9,3.79,1,0,1,0.263
37.05,114.75,10.86,77.7,1,0,0,0.489
26.51,24.13,97.19,2.38,0,0,0,0.142
114.89,111.89,63.97,3.0,0,0,0,0.161
116.56,80.91,98.62,35.66,0,1,0,0.309
100.84,100.73,35.21,0.11,0,0,0,0.197
50.46,58.39,97.18,7.93,0,2,0,0.327
29.77,67.18,16.27,37.42,1,0,0,0.296
88.42,106.89,5.99,18.46,0,2,1,1.0
64.02,61.48,5.23,2.53,0,0,0,0.668
32.2,73.47,47.56,41.26,1,0,0,0.175
69.52,22.02,10.13,47.5,0,2,0,1.0
23.44,35.86,52.19,12.42,0,0,1,0.397
110.93,84.17,34.1,26.76,0,0,1,0.467
45.88,91.7,34.89,45.82,1,0,0,0.212
86.25,78.26,64.29,7.99,0,0,0,0.174
51.17,34.33,17.98,16.84,0,2,1,0.995
72.01,64.54,77.12,7.47,1,0,0,0.063
74.67,55.51,59.04,19.16,0,2,0,0.423
38.49,69.57,91.66,31.08,1,0,0,0.115
116.96,107.03,37.75,9.93,0,0,1,0.415
97.51,97.59,98.31,0.07,0,0,0,0.135
113.95,28.4,58.43,85.55,0,0,0,0.373
109.48,109.03,97.39,0.45,0,0,0,0.137
79.79,67.18,4.65,12.61,0,1,1,1.0
112.19,94.39,73.34,17.8,0,0,1,0.392
28.85,34.0,82.03,5.15,0,1,0,0.247
39.6,87.07,7.21,47.47,0,1,1,1.0
24.52,43.63,58.74,19.11,0,0,0,0.206
52.53,63.84,80.59,11.31,1,1,0,0.164
58.87,21.69,56.98,37.18,0,1,0,0.364
47.13,35.16,8.25,11.97,0,0,1,0.708
102.87,29.21,69.96,73.67,0,0,0,0.333
55.68,43.97,7.94,11.7,0,0,0,0.521
48.09,30.0,82.11,18.09,1,1,1,0.379
74.27,89.19,6.22,14.92,1,0,1,0.722
34.09,22.9,15.46,11.19,1,0,0,0.241
100.22,81.77,28.96,18.45,0,0,0,0.263
27.46,34.07,64.07,6.62,0,0,0,0.17
118.69,114.52,97.68,4.17,0,0,0,0.146
97.22,113.31,13.55,16.08,0,0,0,0.381
39.87,42.55,15.99,2.68,1,0,0,0.213
20.55,81.44,38.15,60.89,1,0,0,0.242
101.55,22.8,83.95,78.75,0,0,0,0.338
90.69,113.18,47.79,22.49,0,0,0,0.228
92.9,72.3,33.52,20.6,0,1,0,0.404
97.13,24.32,57.0,72.8,1,0,1,0.442
27.4,54.25,27.53,26.85,0,0,1,0.49
55.85,27.68,41.31,28.16,0,0,0,0.253
31.59,59.29,34.6,27.71,1,1,0,0.316
106.31,86.99,80.81,19.32,1,0,0,0.091
82.33,66.99,92.58,15.34,0,0,0,0.176
53.09,58.37,76.44,5.28,0,1,0,0.254
26.36,31.92,45.03,5.56,1,0,0,0.09
51.1,44.49,51.42,6.6,0,0,0,0.183
52.52,30.01,14.26,22.5,0,0,0,0.386
92.96,100.75,75.19,7.79,0,0,1,0.365
83.76,33.52,60.45,50.23,1,1,0,0.289
108.72,79.54,90.44,29.18,1,0,0,0.111
67.22,54.27,21.66,12.95,1,1,0,0.391
31.96,42.6,76.45,10.64,0,0,0,0.172
91.32,83.95,69.1,7.38,0,0,0,0.168
